2025-09-28 17:47:23.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [16] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:47:25.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [16] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:47:27.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [16] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:47:29.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [16] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 400, Limit: 100, Categories: [5070]
2025-09-28 17:47:31.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E16], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:47:33.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 16], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:47:35.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 16], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:47:37.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 16], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:47:39.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 16], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:47:41.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 16], Offset: 400, Limit: 100, Categories: [5070]
2025-09-28 17:47:43.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E16], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:47:49.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [17] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:47:51.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [17] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:47:53.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [17] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:47:55.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [17] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:47:57.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [17] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 400, Limit: 100, Categories: [5070]
2025-09-28 17:47:59.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [17] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 500, Limit: 100, Categories: [5070]
2025-09-28 17:48:01.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [17] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 600, Limit: 100, Categories: [5070]
2025-09-28 17:48:03.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [17] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 700, Limit: 100, Categories: [5070]
2025-09-28 17:48:05.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [17] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 800, Limit: 100, Categories: [5070]
2025-09-28 17:48:07.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E17], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:48:09.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 17], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:48:11.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 17], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:48:13.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 17], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:48:15.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 17], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:48:17.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 17], Offset: 400, Limit: 100, Categories: [5070]
