2025-11-06 09:59:58.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 12], Offset: 300, Limit: 100, Categories: [5070]
2025-11-06 10:00:00.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 12], Offset: 300, Limit: 100, Categories: [5070]
2025-11-06 10:00:02.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 12], Offset: 400, Limit: 100, Categories: [5070]
2025-11-06 10:00:04.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 12], Offset: 400, Limit: 100, Categories: [5070]
2025-11-06 10:00:06.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 12], Offset: 500, Limit: 100, Categories: [5070]
2025-11-06 10:00:08.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 12], Offset: 500, Limit: 100, Categories: [5070]
2025-11-06 10:00:10.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia] for Season / Episode:[S06E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:12.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia] for Season / Episode:[S05E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:14.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia S6 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:16.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia S5 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:18.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia S6] for Season / Episode:[S06E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:20.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia S5] for Season / Episode:[S05E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:22.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku No Hero Academia 2022 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:24.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku No Hero Academia 2021 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:26.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku No Hero Academia 2022] for Season / Episode:[S06E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:28.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku No Hero Academia 2021] for Season / Episode:[S05E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:30.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 6th Season 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:32.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 5th Season 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:34.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 6th Season] for Season / Episode:[S06E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:36.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 5th Season] for Season / Episode:[S05E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:38.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia S6 12], Offset: 0, Limit: 100, Categories: [5070]
