2025-11-08 05:17:08.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen] for Season / Episode:[S02E22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:08.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2nd Season 21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:10.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen S2] for Season / Episode:[S02E22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:10.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:12.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen] for Season / Episode:[S02E21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:12.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 02], Offset: 400, Limit: 100, Categories: [5070]
2025-11-08 05:17:14.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2nd Season] for Season / Episode:[S02E21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:16.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2023 22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:18.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 02], Offset: 500, Limit: 100, Categories: [5070]
2025-11-08 05:17:20.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen S2 21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:22.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2023] for Season / Episode:[S02E22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:24.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 02], Offset: 600, Limit: 100, Categories: [5070]
2025-11-08 05:17:26.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen S2] for Season / Episode:[S02E21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:28.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 22], Offset: 0, Limit: 100, Categories: [5070]
